customerID,tenure,Contract,InternetService,PaymentMethod,TechSupport,OnlineSecurity,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Churn_Risk_Score,Risk_Tier,Predicted_LTV,Expected_Monthly_Loss,Expected_LTV_Loss,Value_Segment,Action_Quadrant,Recommended_Action
1982-FEBTD,23,Two year,No,Credit card (automatic),No internet service,No internet service,Yes,25.6,514.75,No,0.0182,1.8,Low Risk,512.59,0.47,9.33,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5301-GAUUY,32,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,80.35,2596.15,Yes,0.337,33.7,Medium Risk,2580.07,27.08,869.48,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5791-KAJFD,56,One year,DSL,Bank transfer (automatic),No,Yes,Yes,68.75,3808.0,No,0.043,4.3,Low Risk,3848.46,2.96,165.48,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2654-VBVPB,1,Month-to-month,No,Bank transfer (automatic),No internet service,No internet service,No,19.9,19.9,No,0.3067,30.7,Medium Risk,19.9,6.1,6.1,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1154-HYWWO,38,One year,DSL,Mailed check,Yes,Yes,No,70.6,2708.2,No,0.0225,2.3,Low Risk,2681.51,1.59,60.33,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2501-XWWTZ,11,Month-to-month,Fiber optic,Electronic check,No,No,No,70.2,760.05,No,0.592,59.2,High Risk,739.85,41.56,437.99,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
3716-UVSPD,1,Month-to-month,DSL,Electronic check,Yes,No,Yes,49.3,49.3,No,0.2831,28.3,Medium Risk,49.3,13.96,13.96,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6815-ABQFQ,56,One year,Fiber optic,Electronic check,Yes,No,Yes,107.25,6033.3,No,0.2924,29.2,Medium Risk,6029.57,31.36,1763.05,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7343-EOBEU,3,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,23.6,89.05,No,0.2002,20.0,Low Risk,91.14,4.72,18.25,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3701-SFMUH,7,Month-to-month,DSL,Credit card (automatic),No,Yes,No,69.7,516.15,No,0.1771,17.7,Low Risk,498.83,12.34,88.34,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6103-LIANB,59,Two year,Fiber optic,Credit card (automatic),No,No,Yes,99.5,5861.75,No,0.0885,8.9,Low Risk,5852.9,8.81,517.98,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7319-VENRZ,7,Month-to-month,DSL,Bank transfer (automatic),Yes,No,No,64.3,445.95,No,0.1679,16.8,Low Risk,445.39,10.8,74.78,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5846-NEQVZ,71,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,70.85,4973.4,No,0.0069,0.7,Low Risk,4926.65,0.49,33.99,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6967-QIQRV,15,One year,Fiber optic,Electronic check,Yes,Yes,No,101.9,1667.25,No,0.1539,15.4,Low Risk,1551.31,15.68,238.75,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5781-RFZRP,71,Two year,DSL,Credit card (automatic),Yes,Yes,No,73.5,5357.75,No,0.0111,1.1,Low Risk,5260.15,0.82,58.39,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0939-YAPAF,35,Month-to-month,Fiber optic,Electronic check,No,No,Yes,100.25,3527.6,Yes,0.7139,71.4,Critical Risk,3497.95,71.57,2497.19,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
0308-IVGOK,11,One year,DSL,Credit card (automatic),Yes,No,Yes,40.4,422.6,No,0.1241,12.4,Low Risk,432.52,5.01,53.68,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7293-LSCDV,60,Two year,No,Credit card (automatic),No internet service,No internet service,Yes,19.25,1103.25,No,0.0071,0.7,Low Risk,1158.17,0.14,8.22,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7025-WCBNE,47,Two year,DSL,Bank transfer (automatic),Yes,No,No,59.6,2754.0,No,0.0128,1.3,Low Risk,2785.73,0.76,35.66,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5756-JYOJT,11,One year,DSL,Credit card (automatic),Yes,No,No,64.9,697.25,No,0.0855,8.6,Low Risk,701.39,5.55,59.97,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4710-FDUIZ,56,One year,Fiber optic,Credit card (automatic),No,No,No,100.3,5614.45,Yes,0.4067,40.7,Medium Risk,5602.78,40.79,2278.65,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6030-REHUX,28,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,110.85,3204.4,No,0.4152,41.5,Medium Risk,3142.98,46.02,1304.97,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9548-LIGTA,61,Two year,DSL,Mailed check,Yes,Yes,Yes,81.05,4747.65,No,0.0217,2.2,Low Risk,4867.98,1.76,105.64,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5150-LJNSR,31,One year,Fiber optic,Bank transfer (automatic),No,Yes,No,98.05,3082.1,No,0.094,9.4,Low Risk,3070.78,9.22,288.65,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8270-RKSAP,9,Month-to-month,Fiber optic,Electronic check,No,No,Yes,70.5,597.9,No,0.4697,47.0,High Risk,598.78,33.11,281.25,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
6522-YRBXD,35,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,94.55,3365.4,No,0.2841,28.4,Medium Risk,3325.99,26.86,944.91,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2640-LYMOV,2,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,19.65,38.8,No,0.163,16.3,Low Risk,39.32,3.2,6.41,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1218-VKFPE,12,Month-to-month,No,Mailed check,No internet service,No internet service,No,19.0,233.55,Yes,0.0932,9.3,Low Risk,228.55,1.77,21.3,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3627-FHKBK,1,Month-to-month,Fiber optic,Mailed check,No,Yes,No,75.3,75.3,Yes,0.5335,53.4,High Risk,75.54,40.17,40.3,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
2865-TCHJW,4,Month-to-month,Fiber optic,Electronic check,No,No,Yes,89.2,346.2,Yes,0.8557,85.6,Critical Risk,360.76,76.33,308.7,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
1423-BMPBQ,1,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,19.0,19.0,No,0.1458,14.6,Low Risk,19.02,2.77,2.77,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2393-DIVAI,3,Month-to-month,No,Mailed check,No internet service,No internet service,Yes,20.0,61.7,No,0.1552,15.5,Low Risk,60.0,3.1,9.31,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5192-EBGOV,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,85.7,85.7,Yes,0.883,88.3,Critical Risk,85.98,75.67,75.92,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
4568-KNYWR,52,Two year,DSL,Credit card (automatic),No,Yes,Yes,63.25,3342.45,No,0.0187,1.9,Low Risk,3338.03,1.18,62.42,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8752-IMQOS,5,One year,No,Mailed check,No internet service,No internet service,No,20.1,85.1,No,0.0405,4.0,Low Risk,99.38,0.81,4.02,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0742-LAFQK,72,Two year,Fiber optic,Electronic check,No,Yes,Yes,99.15,7422.1,No,0.0613,6.1,Low Risk,7213.7,6.08,442.2,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0795-LAFGP,71,Two year,DSL,Electronic check,Yes,Yes,No,90.4,6668.05,No,0.0146,1.5,Low Risk,6453.99,1.32,94.23,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0619-OLYUR,72,Two year,Fiber optic,Credit card (automatic),Yes,Yes,Yes,111.9,8071.05,No,0.0532,5.3,Low Risk,8062.48,5.95,428.92,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5512-IDZEI,46,One year,No,Electronic check,No internet service,No internet service,No,24.9,1174.8,No,0.0216,2.2,Low Risk,1145.68,0.54,24.75,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0459-SPZHJ,63,Two year,DSL,Credit card (automatic),No,Yes,No,83.5,5435.0,No,0.0161,1.6,Low Risk,5453.55,1.34,87.8,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0215-BQKGS,30,Month-to-month,Fiber optic,Credit card (automatic),No,Yes,Yes,84.3,2438.6,No,0.1522,15.2,Low Risk,2488.51,12.83,378.75,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
9244-ZVAPM,1,Month-to-month,DSL,Mailed check,No,No,No,45.6,45.6,No,0.3095,31.0,Medium Risk,45.61,14.11,14.12,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0719-SYFRB,12,Month-to-month,DSL,Mailed check,Yes,Yes,Yes,61.65,713.75,Yes,0.2457,24.6,Low Risk,729.96,15.15,179.35,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8208-EUMTE,16,Two year,DSL,Mailed check,Yes,Yes,No,54.85,916.15,No,0.0342,3.4,Low Risk,890.98,1.88,30.47,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5172-MIGPM,4,Month-to-month,DSL,Mailed check,Yes,No,No,65.55,237.2,No,0.2422,24.2,Low Risk,251.31,15.88,60.87,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1710-RCXUS,51,One year,Fiber optic,Credit card (automatic),No,No,Yes,90.35,4614.55,No,0.1759,17.6,Low Risk,4612.4,15.89,811.32,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
0374-FIUCA,65,Two year,No,Credit card (automatic),No internet service,No internet service,Yes,20.4,1414.45,No,0.0073,0.7,Low Risk,1407.04,0.15,10.27,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5839-SUYVZ,16,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,74.55,1170.5,No,0.2142,21.4,Low Risk,1179.77,15.97,252.71,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5173-ZXXXL,2,One year,No,Mailed check,No internet service,No internet service,No,19.95,47.7,No,0.0693,6.9,Low Risk,40.34,1.38,2.8,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1096-ADRUX,66,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,74.25,4859.25,No,0.0865,8.7,Low Risk,4893.75,6.42,423.31,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2001-MCUUW,46,Two year,Fiber optic,Electronic check,Yes,No,No,108.65,4903.2,No,0.0924,9.2,Low Risk,4963.61,10.04,458.64,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2731-GJRDG,32,One year,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,109.55,3608.0,No,0.1975,19.7,Low Risk,3656.94,21.64,722.25,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4723-BEGSG,72,Two year,DSL,Credit card (automatic),Yes,Yes,No,86.65,6094.25,No,0.0146,1.5,Low Risk,6194.05,1.27,90.43,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6516-NKQBO,38,Two year,DSL,Credit card (automatic),Yes,Yes,No,81.0,3084.9,No,0.0185,1.9,Low Risk,3073.58,1.5,56.86,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8672-OAUPW,51,One year,DSL,Credit card (automatic),Yes,No,No,47.85,2356.75,No,0.0258,2.6,Low Risk,2425.17,1.23,62.57,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8207-DMRVL,72,Two year,Fiber optic,Bank transfer (automatic),Yes,Yes,No,114.55,8306.05,No,0.0259,2.6,Low Risk,8248.12,2.97,213.63,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
3419-SNJJD,65,Month-to-month,Fiber optic,Bank transfer (automatic),No,Yes,No,105.25,6786.4,Yes,0.5038,50.4,High Risk,6815.58,53.02,3433.69,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
6543-CPZMK,9,Month-to-month,DSL,Electronic check,No,No,Yes,29.95,248.95,Yes,0.462,46.2,High Risk,265.87,13.84,122.83,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
4765-OXPPD,9,Month-to-month,DSL,Mailed check,Yes,Yes,No,65.0,663.05,Yes,0.3086,30.9,Medium Risk,673.95,20.06,207.98,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2804-ETQDK,66,Two year,No,Mailed check,No internet service,No internet service,No,20.55,1357.1,No,0.0041,0.4,Low Risk,1357.82,0.08,5.57,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6689-VRRTK,44,One year,Fiber optic,Credit card (automatic),No,Yes,Yes,109.8,4860.35,No,0.1557,15.6,Low Risk,4876.43,17.1,759.26,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7138-GIRSH,50,Two year,DSL,Bank transfer (automatic),Yes,No,No,69.5,3418.2,No,0.0188,1.9,Low Risk,3434.44,1.31,64.57,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9396-ZSFLL,15,Month-to-month,DSL,Mailed check,No,No,No,48.85,631.4,No,0.1903,19.0,Low Risk,684.13,9.3,130.19,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
6464-KEXXH,8,Month-to-month,DSL,Credit card (automatic),No,No,Yes,25.25,186.3,No,0.3218,32.2,Medium Risk,193.05,8.13,62.12,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7134-MJPDY,66,One year,Fiber optic,Credit card (automatic),Yes,No,Yes,102.85,6976.75,No,0.2042,20.4,Low Risk,6858.07,21.0,1400.42,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5240-CAOYT,57,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,Yes,Yes,87.55,4884.85,No,0.1583,15.8,Low Risk,4952.61,13.86,784.0,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4059-IIEBK,7,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,78.55,522.95,No,0.4702,47.0,High Risk,547.03,36.93,257.21,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
4881-JVQOD,10,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,34.55,362.6,No,0.345,34.5,Medium Risk,356.67,11.92,123.05,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0516-UXRMT,62,One year,Fiber optic,Electronic check,No,Yes,Yes,92.05,5755.8,No,0.0969,9.7,Low Risk,5726.43,8.92,554.89,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4851-BQDNX,40,One year,Fiber optic,Electronic check,No,No,Yes,85.05,3355.65,No,0.1426,14.3,Low Risk,3376.28,12.13,481.46,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5148-HKFIR,20,Two year,No,Mailed check,No internet service,No internet service,No,19.7,406.95,No,0.0135,1.4,Low Risk,392.64,0.27,5.3,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1009-IRMNA,7,Month-to-month,No,Bank transfer (automatic),No internet service,No internet service,No,20.0,137.6,Yes,0.3069,30.7,Medium Risk,138.39,6.14,42.47,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3003-CMDUU,25,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,95.15,2395.7,No,0.3383,33.8,Medium Risk,2415.42,32.19,817.14,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
5016-IBERQ,23,Month-to-month,Fiber optic,Electronic check,No,No,No,84.25,1968.1,No,0.4082,40.8,Medium Risk,2002.12,34.39,817.27,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
6797-UCJHZ,66,One year,Fiber optic,Credit card (automatic),No,No,No,104.6,6819.45,No,0.1507,15.1,Low Risk,6852.36,15.76,1032.65,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2469-DTSGX,72,Two year,Fiber optic,Electronic check,Yes,No,No,111.65,7943.45,No,0.059,5.9,Low Risk,8029.61,6.59,473.75,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4554-YGZIH,49,Month-to-month,Fiber optic,Credit card (automatic),No,No,No,90.05,4547.25,Yes,0.577,57.7,High Risk,4448.2,51.96,2566.61,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
5099-BAILX,43,Month-to-month,Fiber optic,Bank transfer (automatic),Yes,No,Yes,110.75,4687.9,Yes,0.5539,55.4,High Risk,4718.41,61.34,2613.53,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9931-KGHOA,46,Month-to-month,DSL,Bank transfer (automatic),No,Yes,No,55.0,2473.95,No,0.0628,6.3,Low Risk,2499.46,3.45,156.97,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1775-KWJKQ,72,Two year,DSL,Credit card (automatic),Yes,Yes,No,89.85,6562.9,No,0.0096,1.0,Low Risk,6471.16,0.86,62.12,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7665-VIGUD,10,One year,No,Mailed check,No internet service,No internet service,No,20.35,176.3,No,0.0531,5.3,Low Risk,204.34,1.08,10.85,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9411-TPQQV,40,One year,DSL,Bank transfer (automatic),Yes,Yes,Yes,54.55,2236.2,No,0.0762,7.6,Low Risk,2198.07,4.16,167.49,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
7207-RMRDB,65,Month-to-month,Fiber optic,Electronic check,No,No,Yes,105.5,6985.65,Yes,0.6249,62.5,High Risk,6912.62,65.93,4319.7,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
7954-MLBUN,31,Two year,Fiber optic,Bank transfer (automatic),Yes,No,No,99.45,3109.9,No,0.0587,5.9,Low Risk,3095.37,5.84,181.7,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
2077-DDHJK,68,Two year,DSL,Credit card (automatic),Yes,Yes,No,70.9,4911.35,No,0.0087,0.9,Low Risk,4838.92,0.62,42.1,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4913-EHYUI,56,One year,Fiber optic,Bank transfer (automatic),No,Yes,Yes,104.55,5794.65,Yes,0.4645,46.5,High Risk,5832.66,48.56,2709.27,High Value,Immediate Intervention,Dedicated Retention Outreach + 15% Annual Discount
0195-IESCP,10,Month-to-month,Fiber optic,Electronic check,No,No,Yes,85.25,855.3,Yes,0.8434,84.3,Critical Risk,854.2,71.9,720.43,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9574-BOSMD,68,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,25.4,1620.2,No,0.0044,0.4,Low Risk,1639.89,0.11,7.22,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4580-TMHJU,43,Month-to-month,DSL,Electronic check,No,No,No,56.15,2499.3,Yes,0.3451,34.5,Medium Risk,2457.09,19.38,847.94,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0970-ETWGE,1,Month-to-month,Fiber optic,Electronic check,No,No,Yes,89.55,89.55,Yes,0.8291,82.9,Critical Risk,89.66,74.25,74.34,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
4908-XAXAY,49,One year,Fiber optic,Bank transfer (automatic),No,No,Yes,89.85,4287.2,No,0.1517,15.2,Low Risk,4330.18,13.63,656.89,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8404-VLQFB,15,Month-to-month,No,Electronic check,No internet service,No internet service,Yes,25.25,394.85,No,0.1277,12.8,Low Risk,384.84,3.22,49.14,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1626-ERCMM,20,Month-to-month,Fiber optic,Electronic check,No,No,Yes,94.55,1899.65,Yes,0.8088,80.9,Critical Risk,1924.73,76.47,1556.72,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
0887-HJGAR,1,Month-to-month,DSL,Mailed check,No,No,Yes,45.7,45.7,Yes,0.7202,72.0,Critical Risk,45.7,32.91,32.91,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
2391-IPLOP,50,One year,DSL,Electronic check,Yes,No,Yes,69.65,3442.15,No,0.0767,7.7,Low Risk,3465.59,5.34,265.81,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5644-PDMZC,2,Month-to-month,Fiber optic,Electronic check,No,No,No,89.5,161.5,Yes,0.8431,84.3,Critical Risk,175.59,75.46,148.04,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
3509-GWQGF,24,Month-to-month,Fiber optic,Credit card (automatic),No,No,No,70.0,1732.6,No,0.2421,24.2,Low Risk,1687.85,16.95,408.63,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9576-ANLXO,3,Month-to-month,Fiber optic,Bank transfer (automatic),No,No,Yes,69.55,222.3,Yes,0.6682,66.8,High Risk,213.21,46.47,142.47,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
2024-BASKD,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,74.6,74.6,Yes,0.7321,73.2,Critical Risk,74.62,54.61,54.63,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
5845-BZZIB,35,Two year,No,Mailed check,No internet service,No internet service,No,20.1,655.3,No,0.0082,0.8,Low Risk,682.8,0.16,5.6,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
1140-UKVZG,17,Month-to-month,No,Mailed check,No internet service,No internet service,No,24.8,475.25,No,0.0812,8.1,Low Risk,448.05,2.01,36.38,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
4160-AMJTL,8,Month-to-month,No,Electronic check,No internet service,No internet service,No,19.65,164.3,Yes,0.1924,19.2,Low Risk,157.54,3.78,30.31,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5183-SNMJQ,10,Month-to-month,Fiber optic,Credit card (automatic),Yes,No,Yes,95.1,865.1,No,0.4112,41.1,Medium Risk,917.02,39.11,377.08,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
8100-PNJMH,68,Two year,DSL,Credit card (automatic),Yes,Yes,Yes,88.85,6132.7,No,0.0162,1.6,Low Risk,6053.84,1.44,98.07,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7838-LAZFO,45,One year,DSL,Bank transfer (automatic),No,Yes,No,78.8,3597.5,No,0.0378,3.8,Low Risk,3554.68,2.98,134.37,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
4464-JCOLN,2,One year,No,Mailed check,No internet service,No internet service,No,19.85,35.9,Yes,0.0664,6.6,Low Risk,39.7,1.32,2.64,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2085-JVGAD,37,Month-to-month,No,Bank transfer (automatic),No internet service,No internet service,No,20.35,697.65,No,0.0379,3.8,Low Risk,741.31,0.77,28.1,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5650-VDUDS,4,Month-to-month,DSL,Mailed check,No,No,Yes,24.25,96.05,Yes,0.6793,67.9,High Risk,97.33,16.47,66.12,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
8095-WANWK,10,Month-to-month,DSL,Mailed check,No,No,No,45.25,428.7,No,0.2072,20.7,Low Risk,437.94,9.38,90.74,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3030-ZKIWL,1,Month-to-month,No,Mailed check,No internet service,No internet service,No,20.05,20.05,No,0.1987,19.9,Low Risk,20.05,3.98,3.98,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
9565-FLVCG,65,Two year,DSL,Mailed check,No,Yes,Yes,69.55,4459.15,No,0.0141,1.4,Low Risk,4498.63,0.98,63.43,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
8755-OGKNA,57,Two year,No,Bank transfer (automatic),No internet service,No internet service,No,19.5,1167.6,No,0.0055,0.5,Low Risk,1119.91,0.11,6.16,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
2800-VEQXM,3,Month-to-month,Fiber optic,Mailed check,No,No,Yes,74.75,238.1,No,0.4317,43.2,Medium Risk,226.07,32.27,97.59,High Value,Core VIP Protect,Loyalty Perks: Speed Boost & Exclusive Support Line
7538-GWHML,2,Month-to-month,Fiber optic,Electronic check,No,No,No,69.65,145.15,Yes,0.6877,68.8,High Risk,139.54,47.9,95.96,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
5533-RJFTJ,49,Month-to-month,DSL,Bank transfer (automatic),No,No,Yes,30.2,1453.1,No,0.2108,21.1,Low Risk,1474.39,6.37,310.8,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3859-CVCET,4,Month-to-month,DSL,Mailed check,No,No,No,45.65,191.05,Yes,0.5505,55.1,High Risk,181.73,25.13,100.04,Standard Value,Automated Nurture,Digital Drip: $5/mo Contract Lock-In Offer
0214-JHPFW,70,Two year,DSL,Bank transfer (automatic),Yes,No,No,57.8,4039.3,No,0.0145,1.5,Low Risk,4040.64,0.84,58.59,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
5642-MHDQT,53,One year,No,Bank transfer (automatic),No internet service,No internet service,Yes,19.85,1039.45,No,0.0195,2.0,Low Risk,1056.75,0.39,20.61,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3088-FVYWK,53,Two year,No,Credit card (automatic),No internet service,No internet service,No,25.55,1336.1,No,0.0089,0.9,Low Risk,1342.16,0.23,11.95,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
3276-HDUEG,1,Month-to-month,Fiber optic,Mailed check,No,No,Yes,75.05,75.05,Yes,0.8114,81.1,Critical Risk,75.24,60.9,61.05,High Value,Immediate Intervention,VIP Concierge: 12-mo Contract + Free Tech Support Bundle
9092-GDZKO,22,Month-to-month,No,Credit card (automatic),No internet service,No internet service,Yes,24.85,493.4,No,0.0833,8.3,Low Risk,524.08,2.07,43.66,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
0823-HSCDJ,52,Month-to-month,DSL,Electronic check,No,No,Yes,49.15,2550.9,Yes,0.4096,41.0,Medium Risk,2545.45,20.13,1042.62,Standard Value,Low Maintenance,Standard Account Care & Feature Discovery
